"type","value","source"
"domain","22naysyvz3uvz.top","Mandiant"
"domain","75h3k628pe6e4w4.top","Mandiant"
"domain","8qvihxy8x5nyixj.fun","Mandiant"
"domain","8qvihxy8x5nyixj.top","Mandiant"
"domain","acibbnijcehcmbi.top","Mandiant"
"domain","acrtyfmjdxpvnha.top","Mandiant"
"domain","aifzniu34gjz.top","Mandiant"
"domain","aihehafllejmime.top","Mandiant"
"domain","akclafkefbcdala.top","Mandiant"
"domain","bcmkgldlaacgnmk.top","Mandiant"
"domain","bfidmcjejlilflg.top","Mandiant"
"domain","bnnjlmhemhbflml.top","Mandiant"
"domain","brcfvyjjkrckwik.top","Mandiant"
"domain","brertyzsgjz.top","Mandiant"
"domain","cfkidealhhbhknh.top","Mandiant"
"domain","clecehclelinenc.top","Mandiant"
"domain","dcuehjvvbqcoulc.top","Mandiant"
"domain","dgemmiailgjdlde.top","Mandiant"
"domain","dnbabanlldibban.top","Mandiant"
"domain","dnsjxaeyevjvrhc.top","Mandiant"
"domain","ecduutcykpvkbim.top","Mandiant"
"domain","ehhgalllaaajgbe.top","Mandiant"
"domain","eirtjzo3i4ec.top","Mandiant"
"domain","erfoectvhkndfmm.top","Mandiant"
"domain","fhpacvqvndaronw.top","Mandiant"
"domain","gejkkahlkdgfich.top","Mandiant"
"domain","gkbjkdfghilekfn.top","Mandiant"
"domain","gmbcjlglannmndn.top","Mandiant"
"domain","hbmagedlhgmakek.top","Mandiant"
"domain","hfya8v9z3.top","Mandiant"
"domain","hghihheldjfgede.top","Mandiant"
"domain","hlkvwjlvbpyuipr.top","Mandiant"
"domain","ibuhucivhjljrqc.top","Mandiant"
"domain","ihinmjjecgmdjgg.top","Mandiant"
"domain","ijegfablkcfibfb.top","Mandiant"
"domain","imdhnnlemjgjefa.top","Mandiant"
"domain","jdjmdlalamlcgfh.top","Mandiant"
"domain","kblghnlfclmgjhj.top","Mandiant"
"domain","kdldinfemjemlhi.top","Mandiant"
"domain","kjfljchejmlefhd.top","Mandiant"
"domain","lkipoodhb.top","Mandiant"
"domain","llcjgjeecflgcia.top","Mandiant"
"domain","maahecbejmkimjl.top","Mandiant"
"domain","mgibfgcefbdahig.top","Mandiant"
"domain","mioasfybz7y4.top","Mandiant"
"domain","muaomibvaovbuth.top","Mandiant"
"domain","naybvyzvemm.top","Mandiant"
"domain","naystvhzo4.top","Mandiant"
"domain","nclfbjmecejjjki.top","Mandiant"
"domain","nifncmnemidcekd.top","Mandiant"
"domain","njjakcxvhhipfur.top","Mandiant"
"domain","nueyzivzzz2.top","Mandiant"
"domain","nzuruboeo.top","Mandiant"
"domain","ousv4bmqk1fmgdf.fun","Mandiant"
"domain","ousv4bmqk1fmgdf.top","Mandiant"
"domain","pastes.io","Mandiant"
"domain","pf6a02iqtrw6tet.fun","Mandiant"
"domain","pf6a02iqtrw6tet.top","Mandiant"
"domain","pfaeldsmbmqbatk.top","Mandiant"
"domain","qkmjsgiiebuinyu.top","Mandiant"
"domain","qukojwqmhfdpjuu.top","Mandiant"
"domain","r0kqxseq2idr7g8.fun","Mandiant"
"domain","r0kqxseq2idr7g8.top","Mandiant"
"domain","rkuagqnmnypetvf.top","Mandiant"
"domain","rywuqyfikthwwaf.top","Mandiant"
"domain","sohfnsciqntlgbp.top","Mandiant"
"domain","terqlmaiwggbqca.top","Mandiant"
"domain","usccifwieyrpadk.top","Mandiant"
"domain","vimmgyujkseejeu.top","Mandiant"
"domain","wxwxesrjqlqstff.top","Mandiant"
"ip","173.232.146.62","Mandiant"
"ip","178.156.128.182","Mandiant"
"ip","185.250.151.155","Mandiant"
"url","http://acrtyfmjdxpvnha.top/1.php?s=527","Mandiant"
"url","http://aifzniu34gjz.top/f15.svg","Mandiant"
