Indicator Value,Indicator Type,IC Score,Associated Actors,Associated Malware,Associated Tools,Associated Campaigns,Associated Reports,Exclusive,First Seen,Last Seen,SHA1,SHA256,Threat Score
3hti.com,FQDN,54,UNC5518,,,CAMP.24.061,24-10070103,FALSE,9/12/2024,11/7/2024,,,6
airbluefootgear.com,FQDN,90,UNC5518,,,CAMP.24.061,24-10070103,FALSE,9/21/2024,11/7/2024,,,55
airfindia.com,FQDN,40,UNC5518,,,CAMP.24.061,24-10070103,FALSE,4/6/2023,11/7/2024,,,14
allaces.com.au,FQDN,50,UNC5518,,,CAMP.24.061,"24-10070103, 24-10072483, 24-10072686",FALSE,9/17/2024,11/21/2024,,,1
aquarianpoolandspa.com,FQDN,50,UNC5518,,,CAMP.24.061,24-10070103,FALSE,8/23/2024,11/7/2024,,,0
architectural.masonite.com,FQDN,40,UNC5518,,,CAMP.24.061,24-10070103,FALSE,9/17/2024,11/7/2024,,,0
articolite.com,FQDN,50,UNC5518,,,CAMP.24.061,24-10070103,FALSE,8/23/2024,11/7/2024,,,0
ashleypuerner.com,FQDN,95,UNC5518,,,CAMP.24.061,"24-10064648, 24-10070103",FALSE,5/28/2024,11/7/2024,,,63
athsvic.org.au,FQDN,40,UNC5518,,,CAMP.24.061,24-10070103,FALSE,4/6/2023,11/7/2024,,,14
avvocati-associati.org,FQDN,50,UNC5518,,,CAMP.24.061,24-10070103,FALSE,8/23/2024,11/7/2024,,,0
backalleybikerepair.com,FQDN,62,UNC5518,,,CAMP.24.061,24-10070103,FALSE,4/26/2024,11/7/2024,,,16
barcelonafcblog.com,FQDN,50,UNC5518,,,CAMP.24.061,24-10070103,FALSE,6/21/2024,11/7/2024,,,0
bastillefestival.com.au,FQDN,50,UNC5518,,,CAMP.24.061,24-10070103,FALSE,9/17/2024,11/7/2024,,,1
betterqualified.com,FQDN,62,UNC5518,,,CAMP.24.061,24-10070103,FALSE,8/23/2024,11/7/2024,,,16
bigfoot99.com,FQDN,54,UNC5518,,,CAMP.24.061,24-10070103,FALSE,10/2/2020,11/7/2024,,,6
blacksportsonline.com,FQDN,24,UNC5518,,,CAMP.24.061,"24-10070103, 25-10005335",FALSE,10/3/2020,2/5/2025,,,0
blog.contentstudio.io,FQDN,46,UNC5518,,,CAMP.24.061,24-10070103,FALSE,5/20/2023,11/7/2024,,,6
blog.teachlr.com,FQDN,56,UNC5518,,,CAMP.24.061,24-10070103,FALSE,5/17/2024,11/7/2024,,,9
bluefrogplumbing.com,FQDN,40,UNC5518,,,CAMP.24.061,"24-10064648, 24-10070103",FALSE,8/17/2021,11/7/2024,,,14
bretagne-balades.com,FQDN,90,UNC5518,,,CAMP.24.061,24-10070103,FALSE,7/9/2024,1/11/2025,,,56
canadianimmigrationservices.org,FQDN,50,UNC5518,,,CAMP.24.061,24-10070103,FALSE,9/20/2024,11/7/2024,,,0
careers-advice-online.com,FQDN,62,UNC5518,,,CAMP.24.061,24-10070103,FALSE,4/26/2024,11/7/2024,,,16
castellodelpoggio.com,FQDN,50,UNC5518,,,CAMP.24.061,24-10070103,FALSE,9/17/2024,11/7/2024,,,0
celebrand.es,FQDN,50,UNC5518,,,CAMP.24.061,24-10070103,FALSE,8/23/2024,11/7/2024,,,0
chamonixskipasses.com,FQDN,50,UNC5518,,,CAMP.24.061,24-10070103,FALSE,8/12/2024,11/7/2024,,,0
chandlersports.co.uk,FQDN,44,UNC5518,,,CAMP.24.061,24-10070103,FALSE,8/23/2024,11/7/2024,,,8
chhimi.com,FQDN,100,UNC5518,,,CAMP.24.061,"24-10063759, 24-10064640, 24-10064648, 24-10070103",TRUE,8/2/2024,11/7/2024,,,100
chicagohilal.org,FQDN,50,UNC5518,,,CAMP.24.061,,FALSE,2/3/2025,2/3/2025,,,0
chicklitplus.com,FQDN,50,UNC5518,,,CAMP.24.061,24-10070103,FALSE,6/17/2024,11/7/2024,,,0
codigonexo.com,FQDN,62,UNC5518,,,CAMP.24.061,24-10070103,FALSE,10/2/2020,11/7/2024,,,16
comicsonline.com,FQDN,50,UNC5518,,,CAMP.24.061,"24-10064640, 24-10064648, 24-10070103",FALSE,9/7/2024,11/7/2024,,,0
comingoutcovenant.com,FQDN,77,UNC5518,,,CAMP.24.061,24-10070103,FALSE,7/7/2024,11/7/2024,,,38
